timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220129T2000,7.2505283,0.258
20220129T2100,7.3205285,0.258
20220129T2200,7.6705284,0.258
20220129T2300,7.4005284,0.258
20220130T0000,7.5305285,0.258
20220130T0100,7.5905285,0.258
20220130T0200,7.3805285,0.259
20220130T0300,6.8505287,0.26
20220130T0400,6.4605284,0.262
20220130T0500,5.9905286,0.262
20220130T0600,5.3405285,0.262
20220130T0700,4.8705287,0.262
20220130T0800,5.0305285,0.262
20220130T0900,5.8005285,0.262
20220130T1000,6.1805286,0.261
20220130T1100,6.5105286,0.261
20220130T1200,7.6105285,0.261
20220130T1300,7.7405286,0.261
20220130T1400,8.040529,0.261
20220130T1500,8.130529,0.26
20220130T1600,7.8205285,0.26
20220130T1700,6.7705283,0.26
20220130T1800,5.7405286,0.26
20220130T1900,4.7305284,0.26
20220130T2000,3.9305286,0.26
20220130T2100,2.6205285,0.26
20220130T2200,2.3205285,0.26
20220130T2300,2.3905284,0.26
20220131T0000,2.2505286,0.26
20220131T0100,2.3305285,0.259
20220131T0200,1.8505287,0.259
20220131T0300,2.0705285,0.259
20220131T0400,2.1005285,0.259
20220131T0500,2.7905285,0.26
20220131T0600,3.0105286,0.26
20220131T0700,3.7105286,0.259
20220131T0800,4.2505283,0.259
20220131T0900,4.3505287,0.259
20220131T1000,5.3605285,0.259
20220131T1100,4.9505286,0.26
20220131T1200,5.040529,0.26
20220131T1300,4.6705284,0.261
20220131T1400,4.6205287,0.262
20220131T1500,4.2405286,0.262
20220131T1600,3.9505286,0.262
20220131T1700,3.3605285,0.262
20220131T1800,2.8505285,0.261
20220131T1900,2.1805286,0.261
20220131T2000,1.7505287,0.261
20220131T2100,1.6905286,0.261
20220131T2200,1.7205287,0.26
20220131T2300,1.6705287,0.26
20220201T0000,1.5905286,0.26
20220201T0100,1.7105286,0.26
20220201T0200,1.5405287,0.26
20220201T0300,1.5605286,0.26
20220201T0400,1.2305287,0.26
20220201T0500,0.6905287,0.26
20220201T0600,0.79052866,0.26
20220201T0700,0.80052865,0.26
20220201T0800,1.1705287,0.26
20220201T0900,1.6505287,0.26
20220201T1000,2.6705287,0.26
20220201T1100,2.8305285,0.26
20220201T1200,4.1405287,0.264
20220201T1300,5.1705284,0.263
20220201T1400,5.8505287,0.262
20220201T1500,5.3105288,0.262
20220201T1600,5.2405286,0.261
20220201T1700,4.8605285,0.261
20220201T1800,4.7405286,0.261
20220201T1900,5.0605288,0.261
20220201T2000,4.9305286,0.261
20220201T2100,5.0505285,0.26
20220201T2200,4.7705283,0.26
20220201T2300,4.8205285,0.26
20220202T0000,5.0905285,0.26
20220202T0100,5.540529,0.26
20220202T0200,5.4405284,0.26
20220202T0300,5.3305287,0.26
20220202T0400,5.6005287,0.26
20220202T0500,5.6405287,0.26
20220202T0600,5.4605284,0.261
20220202T0700,5.5105286,0.261
20220202T0800,5.9805284,0.261
20220202T0900,6.3805285,0.261
20220202T1000,6.7405286,0.261
20220202T1100,7.3905287,0.262
20220202T1200,9.290529,0.27
20220202T1300,9.170529,0.27
20220202T1400,9.270529,0.27
20220202T1500,9.320529,0.27
20220202T1600,9.070529,0.27
20220202T1700,8.500529,0.269
20220202T1800,8.400529,0.269
20220202T1900,8.290529,0.269
20220202T2000,8.220529,0.269
20220202T2100,8.070529,0.27
20220202T2200,8.040529,0.272
20220202T2300,8.000528,0.273
20220203T0000,7.9205284,0.274
20220203T0100,7.8005285,0.275
20220203T0200,7.5905285,0.275
20220203T0300,6.7605286,0.275
20220203T0400,6.7805285,0.274
20220203T0500,6.3905287,0.274
20220203T0600,5.5705285,0.274
20220203T0700,3.6205285,0.274
20220203T0800,4.2205286,0.273
20220203T0900,6.3505287,0.273
20220203T1000,7.9905286,0.273
20220203T1100,8.990529,0.272
20220203T1200,10.220529,0.271
